"species","longitude","latitude","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"Primula latifola",6.405859,45.052928,0.964020848274231,7.13179159164429,29.3028125762939,628.709655761719,15.0377502441406,-9.30049991607666,24.338249206543,-4.52304172515869,8.82695865631104,9.11062526702881,-5.86779165267944,1431,158,74,20.2372169494629,442,263,265,408
"Primula latifola",6.410141,45.054715,0.964020848274231,7.13179159164429,29.3028125762939,628.709655761719,15.0377502441406,-9.30049991607666,24.338249206543,-4.52304172515869,8.82695865631104,9.11062526702881,-5.86779165267944,1431,158,74,20.2372169494629,442,263,265,408
"Primula latifola",9.514343,46.010589,6.01303100585938,9.19268798828125,34.6916809082031,645.458618164062,20.0604991912842,-6.4377498626709,26.4982490539551,11.0117082595825,-1.60500001907349,14.1441249847412,-1.60500001907349,1022,114,39,32.592357635498,332,147,325,147
"Primula latifola",6.628333,44.956667,3.70397901535034,8.18245792388916,32.3442878723145,632.887939453125,18.195499420166,-7.10249996185303,25.2980003356934,0.808666586875916,11.7018327713013,11.7963333129883,-3.33308339118958,1277,139,66,19.7782554626465,396,238,241,356
"Primula latifola",9.849865,46.477483,-2.83494782447815,6.89885425567627,30.1385040283203,584.478759765625,9.14099979400635,-13.7495002746582,22.8904991149902,4.37383317947388,-9.43445873260498,4.41174983978271,-9.43445873260498,935,99,55,16.8926982879639,290,191,282,191
"Primula latifola",9.96647,46.411653,-2.83494782447815,6.89885425567627,30.1385040283203,584.478759765625,9.14099979400635,-13.7495002746582,22.8904991149902,4.37383317947388,-9.43445873260498,4.41174983978271,-9.43445873260498,935,99,55,16.8926982879639,290,191,282,191
"Primula latifola",10.027586,46.439452,-1.15444791316986,7.99010419845581,32.0829734802246,618.237365722656,11.9527502059937,-12.9517498016357,24.9044990539551,6.46495819091797,-7.93249988555908,6.46495819091797,-8.32937526702881,771,86,40,22.9571361541748,253,143,253,143
"Primula latifola",10.004053,46.26256,3.89255213737488,9.6080207824707,35.6397132873535,646.033325195312,17.9610004425049,-8.9977502822876,26.9587516784668,11.9495830535889,-2.88366675376892,11.9495830535889,-3.78666687011719,674,80,27,34.656551361084,235,99,235,99
"Primula latifola",6.630472,44.956005,3.70397901535034,8.18245792388916,32.3442878723145,632.887939453125,18.195499420166,-7.10249996185303,25.2980003356934,0.808666586875916,11.7018327713013,11.7963333129883,-3.33308339118958,1277,139,66,19.7782554626465,396,238,241,356
"Primula latifola",9.802232,46.053205,4.33935403823853,9.28783321380615,34.6612663269043,648.417358398438,18.3575000762939,-8.43850040435791,26.7960014343262,9.46145820617676,-3.36800003051758,12.4440832138062,-3.36800003051758,865,97,32,33.5288734436035,285,123,281,123
"Primula latifola",6.749658,45.380488,0.757916629314423,6.65925025939941,28.5988845825195,608.961547851562,13.9657497406006,-9.31925010681152,23.2849998474121,-4.48266696929932,8.63512516021729,8.63512516021729,-5.8535418510437,1473,156,83,17.9972267150879,443,278,278,419
"Primula latifola",6.61069,44.973026,3.70397901535034,8.18245792388916,32.3442878723145,632.887939453125,18.195499420166,-7.10249996185303,25.2980003356934,0.808666586875916,11.7018327713013,11.7963333129883,-3.33308339118958,1277,139,66,19.7782554626465,396,238,241,356
"Primula latifola",7.112195,45.368475,-1.44742715358734,5.80077075958252,25.9382743835449,600.772521972656,11.3842496871948,-10.9794998168945,22.3637504577637,-6.26395845413208,6.48716640472412,6.48716640472412,-7.94687509536743,1271,133,71,17.8108940124512,373,240,240,347
"Primula latifola",9.594504,46.022536,6.01303100585938,9.19268798828125,34.6916809082031,645.458618164062,20.0604991912842,-6.4377498626709,26.4982490539551,11.0117082595825,-1.60500001907349,14.1441249847412,-1.60500001907349,1022,114,39,32.592357635498,332,147,325,147
